Sun Feb 05 12:00:53 -0500 2012,42.9936,-78.7441,1
Sun Feb 05 12:00:55 -0500 2012,39.4901,-88.1993,-1
Sun Feb 05 12:01:00 -0500 2012,36.1309,-115.166,-1
Sun Feb 05 12:01:33 -0500 2012,40.5346,-74.3426,1
Sun Feb 05 12:02:00 -0500 2012,41.5863,-81.5529,1
Sun Feb 05 12:02:25 -0500 2012,40.7768,-73.9558,1
Sun Feb 05 12:02:31 -0500 2012,40.708,-74.0143,1
Sun Feb 05 12:03:07 -0500 2012,42.2633,-72.61,1
Sun Feb 05 12:03:21 -0500 2012,40.8544,-79.8891,1
Sun Feb 05 12:03:51 -0500 2012,33.9439,-118.405,1
Sun Feb 05 12:03:52 -0500 2012,40.3524,-75.0921,1
Sun Feb 05 12:03:58 -0500 2012,36.6658,-83.6952,1
Sun Feb 05 12:05:04 -0500 2012,40.1228,-75.4751,1
Sun Feb 05 12:05:10 -0500 2012,34.0139,-117.7,1
Sun Feb 05 12:05:19 -0500 2012,40.0084,-74.1624,1
Sun Feb 05 12:05:34 -0500 2012,39.3351,-84.4021,1
Sun Feb 05 12:06:30 -0500 2012,42.0503,-87.6744,-1
Sun Feb 05 12:07:02 -0500 2012,27.6986,-83.8046,1
Sun Feb 05 12:07:27 -0500 2012,33.5301,-101.872,1
Sun Feb 05 12:07:30 -0500 2012,30.0558,-81.5236,1
Sun Feb 05 12:07:56 -0500 2012,38.6711,-121.337,-1
Sun Feb 05 12:08:49 -0500 2012,40.8704,-73.9048,1
Sun Feb 05 12:09:35 -0500 2012,35.1705,-79.861,1
Sun Feb 05 12:09:46 -0500 2012,40.9218,-73.7735,1
Sun Feb 05 12:10:59 -0500 2012,40.909,-74.1886,1
Sun Feb 05 12:11:06 -0500 2012,40.7513,-73.9941,1
Sun Feb 05 12:11:13 -0500 2012,38.1915,-85.6049,-1
Sun Feb 05 12:11:33 -0500 2012,40.6273,-74.1075,1
Sun Feb 05 12:12:07 -0500 2012,41.6636,-73.8635,1
Sun Feb 05 12:12:20 -0500 2012,32.5762,-86.6807,-1
Sun Feb 05 12:12:28 -0500 2012,38.8936,-77.0146,1
Sun Feb 05 12:12:46 -0500 2012,26.0392,-80.3684,-1
Sun Feb 05 12:13:09 -0500 2012,33.4864,-89.7385,1
Sun Feb 05 12:13:15 -0500 2012,39.7798,-86.1329,1
Sun Feb 05 12:13:15 -0500 2012,42.2374,-88.8577,1
Sun Feb 05 12:14:07 -0500 2012,43.0367,-76.1223,-1
Sun Feb 05 12:14:34 -0500 2012,32.5275,-92.6558,-1
Sun Feb 05 12:15:03 -0500 2012,39.983,-82.9773,1
Sun Feb 05 12:15:49 -0500 2012,42.2799,-88.0185,-1
Sun Feb 05 12:15:56 -0500 2012,34.618,-98.4548,1
Sun Feb 05 12:16:00 -0500 2012,38.9516,-76.4854,1
Sun Feb 05 12:16:08 -0500 2012,33.447,-81.9941,-1
Sun Feb 05 12:16:21 -0500 2012,42.3527,-83.0992,-1
Sun Feb 05 12:17:07 -0500 2012,42.3724,-71.2201,-1
Sun Feb 05 12:17:30 -0500 2012,40.7125,-74.073,1
Sun Feb 05 12:17:33 -0500 2012,41.3568,-73.743,1
Sun Feb 05 12:17:34 -0500 2012,40.7928,-73.9711,1
Sun Feb 05 12:17:35 -0500 2012,40.6477,-74.4953,1
Sun Feb 05 12:17:43 -0500 2012,43.0346,-71.4849,-1
Sun Feb 05 12:17:44 -0500 2012,41.0522,-75.3554,1
Sun Feb 05 12:17:57 -0500 2012,40.6847,-74.2641,1
Sun Feb 05 12:18:06 -0500 2012,45.552,-73.7359,1
Sun Feb 05 12:18:09 -0500 2012,32.6782,-83.1783,-1
Sun Feb 05 12:18:23 -0500 2012,30.9373,-91.4009,-1
Sun Feb 05 12:18:31 -0500 2012,37.7209,-81.2491,-1
Sun Feb 05 12:19:24 -0500 2012,39.0704,-77.1261,-1
Sun Feb 05 12:20:04 -0500 2012,41.5113,-93.6145,-1
Sun Feb 05 12:20:06 -0500 2012,28.7975,-81.3328,1
Sun Feb 05 12:20:11 -0500 2012,40.7928,-73.9712,1
Sun Feb 05 12:20:38 -0500 2012,41.1179,-77.6047,1
Sun Feb 05 12:20:48 -0500 2012,29.9731,-90.229,1
Sun Feb 05 12:20:54 -0500 2012,39.9981,-75.1365,1
Sun Feb 05 12:20:58 -0500 2012,39.2846,-76.6206,-1
Sun Feb 05 12:21:03 -0500 2012,35.4178,-80.6742,-1
Sun Feb 05 12:21:11 -0500 2012,41.3228,-72.0722,-1
Sun Feb 05 12:21:22 -0500 2012,42.9765,-72.5092,1
Sun Feb 05 12:21:35 -0500 2012,41.5496,-72.6521,-1
Sun Feb 05 12:21:51 -0500 2012,39.808,-77.8988,1
Sun Feb 05 12:22:11 -0500 2012,39.9511,-75.313,-1
Sun Feb 05 12:22:15 -0500 2012,42.7623,-78.8484,1
Sun Feb 05 12:22:31 -0500 2012,34.7694,-77.3925,-1
Sun Feb 05 12:22:41 -0500 2012,39.2775,-74.5792,-1
Sun Feb 05 12:23:50 -0500 2012,40.6616,-73.9594,-1
Sun Feb 05 12:23:56 -0500 2012,36.8782,-83.8851,1
Sun Feb 05 12:24:16 -0500 2012,40.5101,-78.3989,1
Sun Feb 05 12:24:43 -0500 2012,39.529,-104.953,1
Sun Feb 05 12:25:07 -0500 2012,41.3629,-81.7514,-1
Sun Feb 05 12:25:22 -0500 2012,32.8629,-96.9614,1
Sun Feb 05 12:25:46 -0500 2012,32.9356,-97.2211,1
Sun Feb 05 12:26:26 -0500 2012,43.6975,-79.3412,1
Sun Feb 05 12:26:53 -0500 2012,42.3336,-71.0961,-1
Sun Feb 05 12:26:54 -0500 2012,41.7915,-72.9333,1
Sun Feb 05 12:27:02 -0500 2012,41.3921,-71.4776,1
Sun Feb 05 12:27:12 -0500 2012,40.8334,-73.9207,1
Sun Feb 05 12:27:54 -0500 2012,33.8337,-118.351,1
Sun Feb 05 12:29:05 -0500 2012,39.7589,-75,1
Sun Feb 05 12:29:04 -0500 2012,28.1847,-105.467,1
Sun Feb 05 12:29:16 -0500 2012,34.0209,-118.211,1
Sun Feb 05 12:29:29 -0500 2012,40.6716,-73.8188,1
Sun Feb 05 12:29:30 -0500 2012,33.8004,-84.4132,-1
Sun Feb 05 12:29:34 -0500 2012,45.6156,-73.7324,-1
Sun Feb 05 12:29:57 -0500 2012,39.9343,-122.199,1
Sun Feb 05 12:30:05 -0500 2012,41.7585,-88.2305,1
Sun Feb 05 12:30:07 -0500 2012,41.9383,-93.3898,1
Sun Feb 05 12:30:29 -0500 2012,43.5342,-79.6861,1
Sun Feb 05 12:30:37 -0500 2012,38.75,-94.9854,1
Sun Feb 05 12:30:40 -0500 2012,33.994,-117.419,-1
Sun Feb 05 12:31:17 -0500 2012,34.9098,-89.9426,1
Sun Feb 05 12:32:09 -0500 2012,33.5637,-112.25,1
Sun Feb 05 12:32:16 -0500 2012,44.2486,-76.6102,1
Sun Feb 05 12:32:19 -0500 2012,38.847,-121.26,-1
Sun Feb 05 12:33:23 -0500 2012,41.0196,-73.7763,1
Sun Feb 05 12:33:24 -0500 2012,41.3846,-83.3171,-1
Sun Feb 05 12:33:38 -0500 2012,21.0058,-89.5699,-1
Sun Feb 05 12:34:27 -0500 2012,40.5661,-74.5844,1
Sun Feb 05 12:34:48 -0500 2012,46.8816,-102.797,1
Sun Feb 05 12:35:07 -0500 2012,40.7774,-73.9613,1
Sun Feb 05 12:35:23 -0500 2012,45.0397,-93.2247,1
Sun Feb 05 12:35:29 -0500 2012,39.9127,-86.2211,1
Sun Feb 05 12:35:45 -0500 2012,40.892,-73.3324,-1
Sun Feb 05 12:36:18 -0500 2012,35.1213,-77.8362,1
Sun Feb 05 12:36:57 -0500 2012,47.6773,-122.205,1
